CSV file already exists: /data/juno/lin/agent/drsai-main/my_agent/stock_monitor/data/stock_data.csv
Loaded 647247 existing records for deduplication (by second)
### Connected ###
Saved: BINANCE:BTCUSDT | Price: 78309.84 | Volume: 0.014 | Time: 2026-02-03 10:45:36.354
Saved: BINANCE:BTCUSDT | Price: 78309.84 | Volume: 0.02564 | Time: 2026-02-03 10:45:37.010
Saved: BINANCE:BTCUSDT | Price: 78309.85 | Volume: 0.00253 | Time: 2026-02-03 10:45:38.325
Saved: BINANCE:BTCUSDT | Price: 78309.85 | Volume: 0.00023 | Time: 2026-02-03 10:45:39.176
Saved: BINANCE:BTCUSDT | Price: 78319.3 | Volume: 8e-05 | Time: 2026-02-03 10:45:40.073
Saved: BINANCE:BTCUSDT | Price: 78309.83 | Volume: 7e-05 | Time: 2026-02-03 10:45:41.054
Saved: BINANCE:BTCUSDT | Price: 78300 | Volume: 0.014 | Time: 2026-02-03 10:45:43.256
Saved: BINANCE:BTCUSDT | Price: 78300.01 | Volume: 0.00013 | Time: 2026-02-03 10:45:44.403
Saved: BINANCE:BTCUSDT | Price: 78300 | Volume: 0.00284 | Time: 2026-02-03 10:45:45.200
Saved: BINANCE:BTCUSDT | Price: 78300.01 | Volume: 8e-05 | Time: 2026-02-03 10:45:46.631
Saved: BINANCE:BTCUSDT | Price: 78300 | Volume: 0.014 | Time: 2026-02-03 10:45:47.859
Saved: BINANCE:BTCUSDT | Price: 78300 | Volume: 0.0127 | Time: 2026-02-03 10:45:48.594
Saved: BINANCE:BTCUSDT | Price: 78300 | Volume: 0.0001 | Time: 2026-02-03 10:45:49.688
Saved: BINANCE:BTCUSDT | Price: 78300 | Volume: 0.02057 | Time: 2026-02-03 10:45:50.599
Saved: BINANCE:BTCUSDT | Price: 78300.01 | Volume: 0.00066 | Time: 2026-02-03 10:45:51.053
Saved: BINANCE:BTCUSDT | Price: 78300.01 | Volume: 0.00015 | Time: 2026-02-03 10:45:52.107
